,GHI,DHI,DNI,temp,wspd
2023-01-01 00:00:00,0.0,0.0,0.0,7.7,5.4
2023-01-01 01:00:00,0.0,0.0,0.0,7.3,5.0
2023-01-01 02:00:00,0.0,0.0,0.0,7.3,5.4
2023-01-01 03:00:00,0.0,0.0,0.0,8.0,6.5
2023-01-01 04:00:00,0.0,0.0,0.0,7.4,6.1
2023-01-01 05:00:00,0.0,0.0,0.0,8.6,5.4
2023-01-01 06:00:00,0.0,0.0,0.0,8.0,5.4
2023-01-01 07:00:00,0.0,0.0,0.0,7.2,6.5
2023-01-01 08:00:00,211.2,189.8,173.8,8.4,6.1
2023-01-01 09:00:00,539.9,421.8,431.8,11.2,4.7
2023-01-01 10:00:00,844.7,599.8,629.8,14.7,2.5
2023-01-01 11:00:00,1059.8,711.7,754.3,16.7,2.5
2023-01-01 12:00:00,1137.3,749.8,796.8,17.3,4.3
2023-01-01 13:00:00,1059.8,711.7,754.3,17.8,4.3
2023-01-01 14:00:00,844.7,599.8,629.8,18.1,4.3
2023-01-01 15:00:00,539.9,421.8,431.8,17.7,4.3
2023-01-01 16:00:00,211.2,189.8,173.8,15.7,2.9
2023-01-01 17:00:00,0.0,0.0,0.0,14.6,2.5
2023-01-01 18:00:00,0.0,0.0,0.0,12.8,4.0
2023-01-01 19:00:00,0.0,0.0,0.0,12.7,3.6
2023-01-01 20:00:00,0.0,0.0,0.0,11.7,4.3
2023-01-01 21:00:00,0.0,0.0,0.0,10.7,4.7
2023-01-01 22:00:00,0.0,0.0,0.0,10.0,5.4
2023-01-01 23:00:00,0.0,0.0,0.0,9.5,5.8
2023-01-02 00:00:00,0.0,0.0,0.0,9.9,6.1
2023-01-02 01:00:00,0.0,0.0,0.0,8.7,6.1
2023-01-02 02:00:00,0.0,0.0,0.0,9.1,6.5
2023-01-02 03:00:00,0.0,0.0,0.0,9.1,6.1
2023-01-02 04:00:00,0.0,0.0,0.0,8.1,5.4
2023-01-02 05:00:00,0.0,0.0,0.0,8.4,4.7
2023-01-02 06:00:00,0.0,0.0,0.0,8.0,4.7
2023-01-02 07:00:00,0.0,0.0,0.0,8.0,4.7
2023-01-02 08:00:00,249.3,183.0,533.8,7.9,5.4
2023-01-02 09:00:00,634.4,404.9,835.3,11.2,5.0
2023-01-02 10:00:00,991.4,575.2,1066.7,11.9,0.7
2023-01-02 11:00:00,1243.2,682.3,1212.1,11.6,3.6
2023-01-02 12:00:00,1333.9,718.8,1261.7,12.5,6.8
2023-01-02 13:00:00,1243.2,682.3,1212.1,13.0,5.0
2023-01-02 14:00:00,991.4,575.2,1066.7,13.2,3.6
2023-01-02 15:00:00,634.4,404.9,835.3,13.7,4.7
2023-01-02 16:00:00,249.3,183.0,533.8,12.6,2.9
2023-01-02 17:00:00,0.0,0.0,0.0,11.1,1.8
2023-01-02 18:00:00,0.0,0.0,0.0,10.5,0.4
2023-01-02 19:00:00,0.0,0.0,0.0,10.5,1.8
2023-01-02 20:00:00,0.0,0.0,0.0,11.2,1.1
2023-01-02 21:00:00,0.0,0.0,0.0,11.2,1.8
2023-01-02 22:00:00,0.0,0.0,0.0,11.1,1.8
2023-01-02 23:00:00,0.0,0.0,0.0,11.4,1.4
2023-01-03 00:00:00,0.0,0.0,0.0,11.5,2.2
2023-01-03 01:00:00,0.0,0.0,0.0,11.3,1.1
2023-01-03 02:00:00,0.0,0.0,0.0,11.3,1.1
2023-01-03 03:00:00,0.0,0.0,0.0,10.3,2.5
2023-01-03 04:00:00,0.0,0.0,0.0,9.8,2.5
2023-01-03 05:00:00,0.0,0.0,0.0,9.1,1.4
2023-01-03 06:00:00,0.0,0.0,0.0,7.9,1.1
2023-01-03 07:00:00,0.0,0.0,0.0,7.6,1.8
2023-01-03 08:00:00,240.4,188.7,413.1,7.8,2.5
2023-01-03 09:00:00,608.8,415.4,700.7,9.4,3.6
2023-01-03 10:00:00,950.2,589.5,921.3,11.5,2.2
2023-01-03 11:00:00,1190.9,698.9,1060.0,13.2,4.7
2023-01-03 12:00:00,1277.6,736.2,1107.3,14.7,5.8
2023-01-03 13:00:00,1190.9,698.9,1060.0,15.7,5.4
2023-01-03 14:00:00,950.2,589.5,921.3,15.7,7.2
2023-01-03 15:00:00,608.8,415.4,700.7,15.2,6.8
2023-01-03 16:00:00,240.4,188.7,413.1,14.5,4.0
2023-01-03 17:00:00,0.0,0.0,0.0,12.2,2.9
2023-01-03 18:00:00,0.0,0.0,0.0,11.1,4.0
2023-01-03 19:00:00,0.0,0.0,0.0,10.8,3.2
2023-01-03 20:00:00,0.0,0.0,0.0,10.1,4.3
2023-01-03 21:00:00,0.0,0.0,0.0,9.9,4.7
2023-01-03 22:00:00,0.0,0.0,0.0,9.2,5.0
2023-01-03 23:00:00,0.0,0.0,0.0,9.1,5.0
2023-01-04 00:00:00,0.0,0.0,0.0,8.9,4.0
2023-01-04 01:00:00,0.0,0.0,0.0,9.5,2.5
2023-01-04 02:00:00,0.0,0.0,0.0,6.7,2.9
2023-01-04 03:00:00,0.0,0.0,0.0,6.0,3.2
2023-01-04 04:00:00,0.0,0.0,0.0,5.7,3.2
2023-01-04 05:00:00,0.0,0.0,0.0,6.1,3.6
2023-01-04 06:00:00,0.0,0.0,0.0,6.3,2.5
2023-01-04 07:00:00,0.0,0.0,0.0,6.7,2.2
2023-01-04 08:00:00,263.0,182.8,633.5,6.9,3.6
2023-01-04 09:00:00,662.5,400.6,944.4,9.2,2.2
2023-01-04 10:00:00,1032.6,567.7,1182.9,10.6,1.4
2023-01-04 11:00:00,1293.5,672.8,1332.9,12.5,2.5
2023-01-04 12:00:00,1387.5,708.6,1384.0,14.0,4.7
2023-01-04 13:00:00,1293.5,672.8,1332.9,14.4,4.3
2023-01-04 14:00:00,1032.6,567.7,1182.9,14.9,5.0
2023-01-04 15:00:00,662.5,400.6,944.4,14.7,5.0
2023-01-04 16:00:00,263.0,182.8,633.5,14.0,2.5
2023-01-04 17:00:00,0.0,0.0,0.0,11.3,3.6
2023-01-04 18:00:00,0.0,0.0,0.0,10.2,4.3
2023-01-04 19:00:00,0.0,0.0,0.0,9.2,4.0
2023-01-04 20:00:00,0.0,0.0,0.0,8.9,4.7
2023-01-04 21:00:00,0.0,0.0,0.0,8.6,4.3
2023-01-04 22:00:00,0.0,0.0,0.0,8.5,2.9
2023-01-04 23:00:00,0.0,0.0,0.0,9.2,3.2
2023-01-05 00:00:00,0.0,0.0,0.0,7.9,2.9
2023-01-05 01:00:00,0.0,0.0,0.0,6.4,2.9
2023-01-05 02:00:00,0.0,0.0,0.0,5.2,2.9
2023-01-05 03:00:00,0.0,0.0,0.0,6.4,2.2
2023-01-05 04:00:00,0.0,0.0,0.0,7.1,4.0
2023-01-05 05:00:00,0.0,0.0,0.0,6.9,4.0
2023-01-05 06:00:00,0.0,0.0,0.0,5.2,4.3
2023-01-05 07:00:00,0.0,0.0,0.0,4.6,4.7
2023-01-05 08:00:00,239.3,194.3,351.7,5.4,4.0
2023-01-05 09:00:00,599.3,423.4,631.0,8.6,2.5
2023-01-05 10:00:00,932.7,599.3,845.2,10.6,2.9
2023-01-05 11:00:00,1167.7,709.8,979.9,11.9,4.7
2023-01-05 12:00:00,1252.3,747.5,1025.8,12.9,5.8
2023-01-05 13:00:00,1167.7,709.8,979.9,13.7,5.8
2023-01-05 14:00:00,932.7,599.3,845.2,14.1,5.0
2023-01-05 15:00:00,599.3,423.4,631.0,14.1,4.3
2023-01-05 16:00:00,239.3,194.3,351.7,13.5,3.2
2023-01-05 17:00:00,0.0,0.0,0.0,12.3,2.2
2023-01-05 18:00:00,0.0,0.0,0.0,10.7,1.8
2023-01-05 19:00:00,0.0,0.0,0.0,8.5,3.6
2023-01-05 20:00:00,0.0,0.0,0.0,8.2,4.0
2023-01-05 21:00:00,0.0,0.0,0.0,7.8,4.7
2023-01-05 22:00:00,0.0,0.0,0.0,7.7,4.3
2023-01-05 23:00:00,0.0,0.0,0.0,7.4,4.0
2023-01-06 00:00:00,0.0,0.0,0.0,9.2,4.0
2023-01-06 01:00:00,0.0,0.0,0.0,9.5,3.6
2023-01-06 02:00:00,0.0,0.0,0.0,9.2,3.6
2023-01-06 03:00:00,0.0,0.0,0.0,8.9,4.0
2023-01-06 04:00:00,0.0,0.0,0.0,8.8,3.6
2023-01-06 05:00:00,0.0,0.0,0.0,7.7,4.0
2023-01-06 06:00:00,0.0,0.0,0.0,7.5,3.6
2023-01-06 07:00:00,0.0,0.0,0.0,7.4,3.2
2023-01-06 08:00:00,247.0,195.2,400.5,7.0,3.6
2023-01-06 09:00:00,615.1,423.1,684.9,8.4,2.2
2023-01-06 10:00:00,955.7,597.9,903.1,10.1,1.8
2023-01-06 11:00:00,1195.7,707.8,1040.3,11.4,4.0
2023-01-06 12:00:00,1282.2,745.3,1087.1,12.3,4.7
2023-01-06 13:00:00,1195.7,707.8,1040.3,13.2,4.7
2023-01-06 14:00:00,955.7,597.9,903.1,13.7,5.0
2023-01-06 15:00:00,615.1,423.1,684.9,13.6,5.0
2023-01-06 16:00:00,247.0,195.2,400.5,13.0,4.7
2023-01-06 17:00:00,0.0,0.0,0.0,10.5,5.4
2023-01-06 18:00:00,0.0,0.0,0.0,8.9,2.5
2023-01-06 19:00:00,0.0,0.0,0.0,7.9,3.6
2023-01-06 20:00:00,0.0,0.0,0.0,7.4,3.2
2023-01-06 21:00:00,0.0,0.0,0.0,6.6,4.0
2023-01-06 22:00:00,0.0,0.0,0.0,5.2,4.7
2023-01-06 23:00:00,0.0,0.0,0.0,3.7,4.3
2023-01-07 00:00:00,0.0,0.0,0.0,3.3,4.3
2023-01-07 01:00:00,0.0,0.0,0.0,4.4,4.0
2023-01-07 02:00:00,0.0,0.0,0.0,4.7,4.0
2023-01-07 03:00:00,0.0,0.0,0.0,4.8,4.0
2023-01-07 04:00:00,0.0,0.0,0.0,4.6,4.0
2023-01-07 05:00:00,0.0,0.0,0.0,3.6,4.3
2023-01-07 06:00:00,0.0,0.0,0.0,3.3,4.0
2023-01-07 07:00:00,0.0,0.0,0.0,5.0,3.6
2023-01-07 08:00:00,271.4,189.6,624.3,4.7,3.2
2023-01-07 09:00:00,671.5,408.6,932.4,7.3,2.2
2023-01-07 10:00:00,1041.7,576.6,1168.7,9.8,1.4
2023-01-07 11:00:00,1302.5,682.2,1317.3,10.8,5.0
2023-01-07 12:00:00,1396.4,718.2,1368.0,11.6,4.0
2023-01-07 13:00:00,1302.5,682.2,1317.3,12.9,6.5
2023-01-07 14:00:00,1041.7,576.6,1168.7,13.5,9.4
2023-01-07 15:00:00,671.5,408.6,932.4,13.6,13.3
2023-01-07 16:00:00,271.4,189.6,624.3,12.9,10.8
2023-01-07 17:00:00,0.0,0.0,0.0,10.7,4.3
2023-01-07 18:00:00,0.0,0.0,0.0,9.2,4.3
2023-01-07 19:00:00,0.0,0.0,0.0,9.7,6.8
2023-01-07 20:00:00,0.0,0.0,0.0,10.5,8.3
2023-01-07 21:00:00,0.0,0.0,0.0,11.1,9.7
2023-01-07 22:00:00,0.0,0.0,0.0,11.4,10.1
2023-01-07 23:00:00,0.0,0.0,0.0,11.1,11.9
2023-01-08 00:00:00,0.0,0.0,0.0,11.4,13.0
2023-01-08 01:00:00,0.0,0.0,0.0,11.3,14.4
2023-01-08 02:00:00,0.0,0.0,0.0,11.7,16.6
2023-01-08 03:00:00,0.0,0.0,0.0,11.9,18.4
2023-01-08 04:00:00,0.0,0.0,0.0,12.2,19.1
2023-01-08 05:00:00,0.0,0.0,0.0,12.4,18.4
2023-01-08 06:00:00,0.0,0.0,0.0,12.4,17.6
2023-01-08 07:00:00,0.0,0.0,0.0,12.2,16.6
2023-01-08 08:00:00,284.3,187.3,732.1,12.4,15.8
2023-01-08 09:00:00,699.0,401.1,1050.0,12.7,17.3
2023-01-08 10:00:00,1082.5,565.1,1294.0,13.4,19.1
2023-01-08 11:00:00,1352.5,668.2,1447.4,13.9,19.4
2023-01-08 12:00:00,1449.8,703.4,1499.7,14.4,18.7
2023-01-08 13:00:00,1352.5,668.2,1447.4,13.7,19.4
2023-01-08 14:00:00,1082.5,565.1,1294.0,14.4,20.9
2023-01-08 15:00:00,699.0,401.1,1050.0,14.9,19.1
2023-01-08 16:00:00,284.3,187.3,732.1,14.7,20.5
2023-01-08 17:00:00,0.0,0.0,0.0,13.8,18.7
2023-01-08 18:00:00,0.0,0.0,0.0,13.3,19.8
2023-01-08 19:00:00,0.0,0.0,0.0,13.4,18.7
2023-01-08 20:00:00,0.0,0.0,0.0,13.3,19.8
2023-01-08 21:00:00,0.0,0.0,0.0,13.0,17.3
2023-01-08 22:00:00,0.0,0.0,0.0,13.2,18.7
